precinct_code,county_code
1238977,2
1238978,2
1238979,2
1238980,2
1238981,2
1238982,2
1238983,2
1238984,2
1239010,2
1239011,2
1239012,2
1239013,2
1239014,2
1239015,2
1239016,2
1239017,2
1239018,2
1239019,2
1239020,2
1239021,2
1239028,2
1239049,2
1239050,2
1239051,2
1240018,27
1240019,27
1240020,27
1240021,27
1240022,27
1240023,27
1240024,27
1240054,27
1240055,27
1240387,27
1240056,27
1240057,27
1240388,27
1240058,27
1240059,27
1240389,27
1240060,27
1240061,27
1240089,27
1240090,27
1240094,27
1240095,27
1240100,27
1240107,27
1240108,27
1240109,27
1240110,27
1240111,27
1240112,27
1240113,27
1240114,27
1240115,27
1240119,27
1240120,27
1240121,27
1240122,27
1240123,27
1240124,27
1240154,27
1240155,27
1240156,27
1240157,27
1240158,27
1240159,27
1240160,27
1240161,27
1240162,27
1240398,27
1240163,27
1240164,27
1240165,27
1240166,27
1240167,27
1240168,27
1240169,27
1240170,27
1240171,27
1240172,27
1240407,27
1240173,27
1240174,27
1240175,27
1240176,27
1240177,27
1240178,27
1240179,27
1240180,27
1240181,27
1240399,27
1240400,27
1240401,27
1240182,27
1240183,27
1240184,27
1240185,27
1240186,27
1240187,27
1240188,27
1240189,27
1240190,27
1240191,27
1240192,27
1240193,27
1240194,27
1240195,27
1240196,27
1240197,27
1240402,27
1240198,27
1240199,27
1240200,27
1240201,27
1240202,27
1240203,27
1240204,27
1240205,27
1240392,27
1240206,27
1240207,27
1240208,27
1240209,27
1240210,27
1240211,27
1240212,27
1240213,27
1240214,27
1240215,27
1240216,27
1240217,27
1240218,27
1240219,27
1240220,27
1240221,27
1240222,27
1240223,27
1240224,27
1240225,27
1240226,27
1240227,27
1240228,27
1240229,27
1240230,27
1240231,27
1240408,27
1240232,27
1240233,27
1240234,27
1240393,27
1240235,27
1240236,27
1240394,27
1240237,27
1240238,27
1240239,27
1240240,27
1240409,27
1240241,27
1240242,27
1240243,27
1240244,27
1240245,27
1240246,27
1240247,27
1240248,27
1240249,27
1240395,27
1240250,27
1240251,27
1240252,27
1240253,27
1240254,27
1240255,27
1240256,27
1240257,27
1240258,27
1240259,27
1240403,27
1240404,27
1240410,27
1240260,27
1240261,27
1240262,27
1240263,27
1240264,27
1240265,27
1240266,27
1240267,27
1240268,27
1240405,27
1240411,27
1240412,27
1240413,27
1240298,27
1240299,27
1240300,27
1240301,27
1240302,27
1240303,27
1240304,27
1240305,27
1240334,27
1240335,27
1240336,27
1240337,27
1240338,27
1240339,27
1240340,27
1240341,27
1240342,27
1240343,27
1240344,27
1240345,27
1240346,27
1240350,27
1240351,27
1240353,27
1240354,27
1240355,27
1240356,27
1240357,27
1240358,27
1240359,27
1240360,27
1240361,27
1240362,27
1240363,27
1240364,27
1240365,27
1240366,27
1240367,27
1240368,27
1241738,62